i,d,w
805934,802315,3
805934,802028,3
805934,801350,12
805934,801137,11
800967,801310,6
800967,801137,17
809676,801292,10
90710,801292,18
907676,801292,6
820457,801137,39
811754,801949,20
806767,802315,19
806767,802028,11
806767,801185,49
805416,801350,5
802633,801815,28
905602,802120,71
819196,801292,11
813088,801292,7
810820,801292,31
810094,801292,16
808955,801350,10
808955,801137,14
808953,801292,64
808550,802315,7
808550,802028,4
808550,801350,3
808530,801350,6
808530,801137,12
807782,801292,28
804679,802120,3
802184,802120,22
802184,801815,26
23882,801949,3
23882,800899,28
815201,802120,11
815201,801350,18
815201,801310,10
814805,801350,27
813991,801350,36
813528,802120,11
813127,801815,9
813127,801350,16
812910,802120,4
811939,801815,9
811939,801350,12
811939,801137,4
811210,804301,7
811210,801350,39
808768,804301,14
808768,802028,3
808768,801350,20
806165,801292,21
805884,801350,25
805884,804301,29
804165,802120,9
903400,801350,9
903400,801310,57
903400,801137,132
811040,804301,85
811040,801350,47
805487,801137,18
812170,802028,33
216011,801292,6
158437,801292,7
906654,801949,23
906654,800899,16
815847,804301,69
815847,801350,15
815847,801310,31
812064,802120,29
809399,804301,87
809399,802028,3
809399,801350,76
809399,801310,3
804205,802120,67
804205,801815,3
108296,801292,18
910238,804301,33
910238,801350,45
907594,804301,3
907594,801350,21
907594,801310,27
907594,801137,93
811281,804301,105
811281,801350,63
800799,801292,5
210037,801292,8
169836,801137,6
811299,801815,18
14569,801350,10
809303,801292,12
936263,802315,8
936263,801310,30
936263,801137,31
815965,801310,32
815965,801137,26
814436,804301,71
814436,801350,25
814436,801310,22
802712,801292,130
804164,801350,3
804164,801292,6
804164,801137,3
912637,801185,14
810575,802120,16
810555,801815,10
802882,804301,111
802882,801350,101
819660,802315,5
819660,801310,41
819660,801137,20
1052546574,801185,6
933278,801310,42
933278,801137,10
910882,802120,70
818206,801292,6
812136,802315,3
812136,801310,33
812136,801137,34
811364,801310,17
811364,801137,39
811352,801310,25
811352,801137,13
811252,804301,7
811252,802120,5
811252,801350,29
811252,801310,66
811252,801137,41
811238,801310,43
811238,801137,22
810486,802315,3
810486,801310,24
810486,801137,23
802432,802120,40
814919,801350,9
814314,804301,32
814314,801310,88
814314,801137,18
814281,801137,22
814281,804301,9
814281,801310,3
812644,804301,22
812644,801350,28
812644,801310,78
812644,801137,46
812612,804301,21
812612,801310,88
812612,801137,34
805701,804301,55
805701,801310,52
805701,801137,15
94425,802120,8
81707,802120,16
78341,802120,11
72661,802120,8
817579,804301,5
817579,801350,11
909031,802120,30
809553,804301,18
809553,802315,6
809553,802120,3
809553,801350,27
809553,801310,13
809553,801137,24
809106,802315,4
809106,802120,5
809106,801350,3
809106,801310,30
809106,801137,24
935925,802120,16
935925,801137,3
924901,801949,6
924901,801815,27
924901,801310,17
924901,801185,130
924901,801137,7
811510,802120,6
802533,801185,13
152914,802120,3
810441,802315,3
810441,801310,164
810441,801137,82
802399,801310,4
802399,801137,3
806060,804301,6
806060,802315,8
806060,801350,21
806060,801310,7
806060,801137,6
932579,801292,24
811559,802315,14
811559,801292,5
809928,801292,41
809579,802120,19
809019,801292,48
808635,801292,26
806886,802120,84
804540,801292,294
11540,802120,5
11540,801350,4
11540,801292,4
11540,800899,3
814790,801137,3
807416,804301,58
807416,801350,34
204318,802120,21
910784,802315,3
904263,801310,17
904263,801137,6
814521,801310,21
814521,801137,10
813606,801310,24
813606,801137,18
811605,802120,81
810570,801310,31
810570,801137,30
809783,802120,4
1051211885,802315,42
912409,802120,29
816216,802120,27
811616,801949,27
811616,800899,4
810227,801292,72
810038,801292,6
809466,801185,24
808717,801350,4
804297,801292,9
816372,801185,3
815768,801310,4
815768,801137,4
814667,801310,23
814667,801137,10
814284,801350,5
814284,801185,18
814284,801137,7
811152,801310,5
811152,801137,41
809248,802120,3
404805873,802120,16
809332,801292,65
807952,801350,8
807952,801137,5
227788,802120,20
205625,801292,28
194659,802120,8
168586,802120,6
90756,802120,4
58298,801292,8
48777,801292,3
904945,801949,29
904945,801185,3
904945,800899,6
812229,801350,4
800063,801185,3
171693,802120,12
818353,801310,6
818353,801292,3
816553,802120,8
814530,804301,30
814530,801350,14
810818,804301,25
810818,802315,4
810818,801350,19
810818,801310,54
810818,801137,55
806396,801350,5
806396,801137,12
803042,801949,30
803042,800899,8
519460,801292,3
152565,802120,4
95918,802120,21
95401,802120,9
809672,801310,77
809672,801137,73
803824,801310,34
803824,801137,54
905420,801292,4
807230,802315,42
807230,802028,4
807230,801949,60
807230,801137,41
806908,802315,19
806908,801949,27
806908,801137,5
805809,802120,5
805809,801350,3
802410,801949,34
802410,800899,24
802323,801949,48
802323,801292,4
802323,800899,17
800071,801185,3
572998,802120,8
153256,802120,6
146059,802120,3
124222,802120,4
906193,802120,10
815041,801137,27
810333,804301,27
810333,801350,30
810333,801310,83
810333,801137,59
808776,801310,4
808776,801137,39
81566,802120,5
812337,801292,3
811598,804301,14
811598,801350,13
810542,804301,29
810542,802315,4
810542,801350,42
810542,801310,62
810542,801137,56
804147,802120,73
520634,801292,4
141369,802120,3
135809,802120,8
37199,802120,36
807100,804301,53
807100,801310,71
807100,801137,23
804676,802120,31
804676,801815,5
67824,801292,5
931656,804301,12
931656,801350,14
907826,801185,10
819147,802028,4
819147,800899,28
814815,802120,6
814815,801350,6
813482,801350,5
912500,802315,3
912500,801310,29
912500,801137,28
808880,801310,10
