bodyId,type,side,post
802028,tp1 MN,R,8341
802315,tp1 MN,L,9025
801350,b2 MN,R,13739
801137,b2 MN,L,15577
801185,tpn MN,L,10296
801815,tpn MN,R,8224
800899,tp2 MN,R,9148
801949,tp2 MN,L,10007
801310,b1 MN,L,13213
804301,b1 MN,R,11909
