bodyId,type,side
816072,"SApp06,SApp15",R
71393,SApp,R
121271,SApp,R
109214,SApp,L
912864,SApp01,L
150724,SApp08,L
99407,SApp08,R
818292,SApp,R
124570,"SApp06,SApp15",R
132393,"SApp06,SApp15",R
102868,SApp01,L
263403,SApp01,L
54772,SApp08,R
188093,"SApp06,SApp15",R
117729,"SApp09,SApp22",R
188368,SApp,R
356694,SApp,L
319464846,SApp,L
145821,SApp,L
807074,SApp,L
109547,"SApp09,SApp22",R
125890,SApp,R
149586,SApp,R
136883,SApp,L
96002,SApp08,R
155035,"SApp06,SApp15",L
215290,"SApp06,SApp15",L
139538,SApp,R
250927,SApp,L
811943,SApp,R
129205,SApp,R
240137,"SApp06,SApp15",L
101919,"SApp06,SApp15",R
101048,SApp,R
542076,"SApp09,SApp22",L
452754,"SApp09,SApp22",L
129503,SApp08,L
150027,"SApp06,SApp15",L
161212,SApp,L
172332,SApp,L
203325,SApp08,L
1020257299,SApp,R
251962,SApp,R
581519998,SApp01,L
193940,SApp,L
814345,"SApp06,SApp15",R
155935,SApp08,R
817334,SApp08,R
168542,SApp,R
98280,SApp08,R
721595680,SApp01,R
150277,"SApp06,SApp15",L
242617,"SApp06,SApp15",L
165036608,SApp,R
113655,"SApp09,SApp22",R
122141,SApp08,R
99569,"SApp09,SApp22",R
142880,SApp08,L
338575,SApp,R
124567,"SApp06,SApp15",R
77796,"SApp09,SApp22",R
807758,SApp,L
232250,SApp,R
160004,SApp,L
146426,SApp01,L
149456,SApp,L
125942,SApp08,R
124505,SApp,L
132009,SApp,L
321904,SApp,R
344330055,SApp01,L
