bodyId,type,side,post,nt,group
15900,IN03B060,L,1294,gaba,15900
15600,IN12A034,L,1995,acetylcholine,15483
15307,IN11B018,L,1867,acetylcholine,15125
14743,IN06A019,L,2274,glutamate,14743
13895,IN06A019,L,2475,glutamate,13094
13305,IN06A019,L,2451,glutamate,13148
13094,IN06A019,L,2228,glutamate,13094
11700,IN07B019,L,3936,acetylcholine,11344
43933,IN07B098,L,207,acetylcholine,30841
30443,IN11B022,L,839,glutamate,28267
30239,IN06A126,L,444,glutamate,30239
25744,IN16B107,L,510,glutamate,25100
25158,IN03B072,L,1150,glutamate,16770
24221,IN07B098,L,561,acetylcholine,24221
23969,IN03B072,L,1275,glutamate,16770
20913,IN03B073,L,1151,gaba,20913
20670,AN19B060,L,780,acetylcholine,16587
19935,IN06A022,L,686,glutamate,14254
19688,IN06A042,L,980,glutamate,17535
18872,AN19B060,L,723,acetylcholine,16587
18666,IN03B060,L,1273,gaba,17704
18513,IN03B072,L,1266,glutamate,16770
17723,AN19B046,L,771,acetylcholine,14846
16454,AN19B046,L,1111,acetylcholine,14996
15440,IN06A022,L,431,glutamate,12112
15207,IN06A022,L,402,glutamate,14254
14377,IN06A022,L,507,glutamate,12112
12858,IN06A011,L,629,glutamate,12858
11182,IN19A026,L,5130,gaba,10764
24045,IN02A047,L,605,glutamate,17107
17943,IN06A042,L,1078,glutamate,17535
16826,IN06A042,L,1039,glutamate,16826
14261,INXXX146,R,1042,gaba,14016
13503,IN06A019,R,2402,glutamate,13094
13290,IN07B033,L,3564,acetylcholine,13290
101336,IN11A031,L,1948,glutamate,25192
24153,IN07B086,L,993,acetylcholine,24153
28262,IN07B094,L,554,acetylcholine,25585
14639,IN12A035,L,1777,acetylcholine,14639
14448,IN02A019,L,2574,glutamate,14448
13497,IN03B037,R,2330,acetylcholine,13353
153509,IN06A069,L,875,gaba,20528
28122,IN06A097,L,1167,gaba,25261
24740,IN12A061,L,1361,glutamate,24740
24729,IN06A083,L,469,gaba,24729
23673,IN06A086,L,1121,gaba,23673
21172,IN07B083,L,606,acetylcholine,21172
