mcns,manc,type
85566,20183,"SApp06,SApp15"
816072,19041,"SApp06,SApp15"
121271,24291,SApp
109214,11230,SApp
912864,12606,SApp01
150724,19425,SApp08
99407,15293,SApp08
818292,21899,SApp
124570,16636,"SApp06,SApp15"
132393,22802,"SApp06,SApp15"
102868,11705,SApp01
263403,15188,SApp01
54772,12620,SApp08
188093,19958,"SApp06,SApp15"
117729,16233,"SApp09,SApp22"
188368,45283,SApp
356694,63807,SApp
319464846,36065,SApp
145821,22442,SApp
807074,22248,SApp
109547,39485,"SApp09,SApp22"
125890,42571,SApp
149586,53181849600,SApp
136883,23788,SApp
96002,22362,SApp08
155035,16403,"SApp06,SApp15"
215290,12355,"SApp06,SApp15"
139538,52515,SApp
250927,22494,SApp
811943,16689,SApp
129205,42026,SApp
240137,21151,"SApp06,SApp15"
101919,25500,"SApp06,SApp15"
101048,15638,SApp
542076,21087,"SApp09,SApp22"
452754,15607,"SApp09,SApp22"
129503,17792,SApp08
150027,21061,"SApp06,SApp15"
161212,25289,SApp
203325,20776,SApp08
1020257299,24290,SApp
251962,20875,SApp
581519998,14878,SApp01
193940,15790,SApp
814345,16095,"SApp06,SApp15"
155935,19965,SApp08
817334,18735,SApp08
168542,23938,SApp
98280,25975,SApp08
721595680,13958,SApp01
150277,22402,"SApp06,SApp15"
242617,23659,"SApp06,SApp15"
165036608,18213,SApp
113655,35096,"SApp09,SApp22"
122141,22615,SApp08
99569,18903,"SApp09,SApp22"
142880,11773,SApp08
338575,41472,SApp
124567,30562,"SApp06,SApp15"
77796,41932,"SApp09,SApp22"
807758,11676,SApp
160004,20449,SApp
146426,11479,SApp01
149456,21308,SApp
125942,31535,SApp08
124505,19527,SApp
132009,22522,SApp
321904,20352,SApp
344330055,12081,SApp01
