bodyId,type,side,post,nt,group
156686,IN06A126,R,616,glutamate,154600
102677,IN07B092,L,607,acetylcholine,18680
42067,IN07B092,L,308,glutamate,18680
28719,IN07B092,L,524,acetylcholine,18680
28106,IN07B094,L,580,acetylcholine,25585
21644,IN06B076,R,1530,gaba,19606
13667,INXXX138,R,2968,acetylcholine,13028
10177,IN19B013,L,1023,acetylcholine,10177
164554,IN06A137,R,538,glutamate,28585
159065,IN07B083,L,657,acetylcholine,23825
152857,IN11A028,L,1920,glutamate,13738
18247,IN06A036,R,964,gaba,18247
14971,IN03B070,L,1234,gaba,14971
14524,IN07B083,L,648,acetylcholine,14524
13678,IN12A043,R,2317,acetylcholine,13377
11344,IN07B019,R,3878,acetylcholine,11344
158132,IN06A116,L,826,glutamate,28684
35564,IN03B072,L,959,glutamate,23894
35511,IN06A128,L,680,glutamate,35511
33631,IN06A137,L,317,glutamate,28585
23589,IN02A032,L,1128,glutamate,19990
20348,IN06A057,L,1188,gaba,20348
14254,IN06A022,L,529,glutamate,14254
27966,IN02A061,L,525,glutamate,27966
26372,IN07B100,L,428,acetylcholine,15294
20175,IN03B069,L,1532,glutamate,20175
43240,AN19B079,L,1343,acetylcholine,18408
102678,IN16B093,L,1060,glutamate,22618
23928,IN07B087,L,372,acetylcholine,15656
152548,IN06B047,R,978,glutamate,152548
25241,IN02A040,L,694,glutamate,20691
17191,IN12A058,L,1188,acetylcholine,17191
13028,INXXX138,L,2950,acetylcholine,13028
168448,IN03B061,L,1779,glutamate,19517
20003,IN11B016,L,1047,gaba,20003
18583,IN03B066,L,1605,glutamate,19226
17148,IN03B066,L,1855,glutamate,14379
17111,IN03B061,L,1760,glutamate,17111
159326,IN03B087,L,948,gaba,22809
156274,IN03B062,L,1114,gaba,18729
152815,IN03B060,L,1492,gaba,17704
25173,IN03B072,L,1285,glutamate,16770
20676,IN03B060,L,1241,gaba,16455
19559,IN03B062,L,1000,gaba,19559
19039,IN03B063,L,1022,gaba,18931
20519,IN06B077,R,2003,gaba,20519
11563,AN08B010,L,3604,acetylcholine,11563
166261,IN06A137,L,482,glutamate,28585
20160,IN03B080,L,836,gaba,18361
16630,IN06A032,L,1177,glutamate,13756
10322,AN07B003,L,8411,acetylcholine,10294
28469,IN06A105,L,536,gaba,26903
13691,AN07B032,L,2198,acetylcholine,12578
172560,IN06B042,R,2332,glutamate,12228
154600,IN06A126,L,725,glutamate,154600
29397,IN11B021,L,642,gaba,29350
28701,IN11B021,L,900,gaba,27575
28038,IN11B022,L,1199,glutamate,24151
25676,IN11B019,L,797,gaba,24895
18677,IN06B055,R,2212,gaba,18677
194549,IN18B039,L,915,acetylcholine,194549
101436,IN06B077,R,985,glutamate,25142
18188,IN06B047,R,1920,glutamate,152548
10451,AN18B004,R,8908,acetylcholine,10334
24425,IN07B086,L,797,acetylcholine,24425
23954,IN11A028,R,1712,glutamate,23954
18232,IN12A053,R,1413,acetylcholine,18751
13084,IN19B031,L,3169,acetylcholine,13084
11224,IN17A011,L,3968,acetylcholine,11026
158479,IN06A116,L,917,glutamate,28684
157188,IN06A127,L,729,gaba,28551
68570,IN11B018,L,891,gaba,20821
28238,IN02A061,L,377,glutamate,27966
27560,IN06A116,L,970,glutamate,23482
26231,IN06A116,L,785,glutamate,23482
174427,IN27X014,L,5394,gaba,11917
153224,IN19B083,R,693,acetylcholine,19433
22469,IN03B076,L,1039,gaba,22469
12889,IN07B026,L,3798,acetylcholine,12889
12845,IN14B007,L,4469,gaba,12845
24664,IN03B061,L,1229,gaba,21830
21627,IN06A075,L,499,gaba,17508
18283,IN03B066,L,1840,glutamate,19226
33512,IN11A037,L,1102,glutamate,27665
12130,IN06B013,R,5405,gaba,12092
19615,IN03B058,L,1243,gaba,11504
13616,IN17B015,L,2628,gaba,13573
20253,DNg94,L,163,acetylcholine,20253
154861,IN03B066,L,888,gaba,24856
27273,IN03B066,L,1819,glutamate,19226
157281,IN03B066,L,677,gaba,24241
27429,IN03B066,L,735,gaba,24241
21208,IN06A075,L,614,gaba,17508
21064,IN06A075,R,561,gaba,17508
17508,IN06A075,L,520,gaba,17508
16770,IN03B072,L,1181,glutamate,16770
23128,IN07B083,L,572,acetylcholine,21172
20375,IN07B064,L,698,acetylcholine,20375
31867,IN07B094,L,405,acetylcholine,29419
29570,IN03B070,L,1292,gaba,14971
18816,IN19B053,R,745,acetylcholine,17170
15771,IN07B039,L,1813,acetylcholine,15771
28826,IN11B023,L,738,gaba,24178
24287,IN11B016,L,609,gaba,22869
20490,IN03B063,L,1087,gaba,19780
18361,IN03B080,L,1075,gaba,18361
156765,IN03B080,L,931,gaba,17814
16662,IN03B081,L,902,glutamate,16662
22895,IN19B072,R,669,acetylcholine,15471
157389,IN06A137,L,308,glutamate,28585
159066,IN11B016,L,605,gaba,159066
22869,IN11B016,L,837,gaba,22869
27003,IN11B019,L,893,gaba,23767
17656,IN19B055,L,1108,acetylcholine,17421
16115,AN06A030,L,1651,glutamate,16115
11802,IN17A023,L,7152,acetylcholine,11802
17976,IN19B072,R,736,acetylcholine,15471
10625,IN12A003,L,6586,acetylcholine,10554
18672,IN03B061,L,1615,gaba,21830
18484,IN19B062,R,872,acetylcholine,18484
11611,IN12A009,L,4623,acetylcholine,11460
21385,IN03B058,L,1113,gaba,11504
12910,AN06B089,R,5246,glutamate,12910
155613,IN06A108,L,676,gaba,23860
24505,IN06A118,R,355,gaba,24505
14776,IN17A063,L,2257,acetylcholine,13666
18908,IN06B077,R,1503,gaba,15536
156607,IN03B088,L,628,gaba,25229
158815,IN06B047,L,1102,glutamate,152548
18701,IN06B055,L,2196,gaba,18677
18638,IN19B056,L,2514,acetylcholine,18638
10098,AN02A001,L,9596,glutamate,10098
25135,IN11A034,L,1008,acetylcholine,23561
23571,IN06A075,R,642,gaba,17508
13306,IN06A012,L,1899,gaba,12880
157726,IN06A075,L,395,gaba,17508
11681,IN01A017,R,5274,acetylcholine,11681
18640,IN06B077,R,1779,gaba,18640
18559,IN06B074,R,554,gaba,18559
15744,IN11A018,L,1736,acetylcholine,15744
153286,IN16B059,R,796,glutamate,15269
27161,IN12A018,R,2626,acetylcholine,27161
20462,IN06A002,R,10708,glutamate,13109
18952,IN16B059,R,868,glutamate,15269
16185,IN08B070,R,386,acetylcholine,15713
14224,IN06B017,L,2349,gaba,14224
13435,INXXX142,L,3307,acetylcholine,12840
13266,IN12A018,R,2972,acetylcholine,13220
13224,IN06B017,L,2181,gaba,13126
12469,AN06B090,R,1471,gaba,12469
12312,IN06B014,L,4990,gaba,11040
10755,IN02A007,R,6969,glutamate,10740
10699,IN17B004,R,4545,gaba,10546
10170,w-cHIN,R,7691,gaba,10170
10105,w-cHIN,R,7938,acetylcholine,10073
155062,IN16B063,R,1173,glutamate,18895
153640,IN03B060,R,1089,gaba,16455
28429,IN07B094,R,557,acetylcholine,28429
27485,IN07B092,R,716,acetylcholine,18680
25219,IN03B061,R,1111,gaba,21830
24241,IN03B066,R,717,gaba,24241
21830,IN03B061,R,1498,gaba,21830
18680,IN07B092,R,942,acetylcholine,18680
15390,IN12A035,R,1741,acetylcholine,14639
13288,IN12A012,R,7047,glutamate,12236
12337,AN18B020,R,3010,acetylcholine,12337
